variable,split,subset_1
safety_security_risks,all,hoh_gender
safety_security_risks_yes,all,region
safety_security_risks_yes,all,hh_situation
safety_security_risks_yes,all,i.hh_age
safety_security_risks_yes,all,hoh_gender
sgbv_services,all,region
sgbv_services,all,hh_situation
sgbv_services,all,i.hh_age
sgbv_services,all,hoh_gender
sgbv_services_info,all,region
sgbv_services_info,all,hh_situation
sgbv_services_info,all,i.hh_age
sgbv_services_info,all,hoh_gender
sgbv_services_info2,all,region
sgbv_services_info2,all,hh_situation
sgbv_services_info2,all,i.hh_age
sgbv_services_info2,all,hoh_gender
educ_facility_barriers,all,region
educ_facility_barriers,all,hh_situation
educ_facility_barriers,all,i.hh_age
educ_facility_barriers,all,hoh_gender
cultural_barriers_edu,all,region
cultural_barriers_edu,all,hh_situation
cultural_barriers_edu,all,i.hh_age
cultural_barriers_edu,all,hoh_gender
education_services_info,all,region
education_services_info,all,hh_situation
education_services_info,all,i.hh_age
education_services_info,all,hoh_gender
education_services_info_yes,all,region
education_services_info_yes,all,hh_situation
education_services_info_yes,all,i.hh_age
education_services_info_yes,all,hoh_gender
education_services_info_no,all,region
education_services_info_no,all,hh_situation
education_services_info_no,all,i.hh_age
education_services_info_no,all,hoh_gender
education_security_risks,all,region
education_security_risks,all,hh_situation
education_security_risks,all,i.hh_age
education_security_risks,all,hoh_gender
education_security_risks_yes,all,region
education_security_risks_yes,all,hh_situation
education_security_risks_yes,all,i.hh_age
education_security_risks_yes,all,hoh_gender
water_facility_barriers,all,region
water_facility_barriers,all,hh_situation
water_facility_barriers,all,i.hh_age
water_facility_barriers,all,hoh_gender
water_services_cultural_barriers,all,region
water_services_cultural_barriers,all,hh_situation
water_services_cultural_barriers,all,i.hh_age
water_services_cultural_barriers,all,hoh_gender
water_services_info,all,region
water_services_info,all,hh_situation
water_services_info,all,i.hh_age
water_services_info,all,hoh_gender
water_services_info_yes,all,region
water_services_info_yes,all,hh_situation
water_services_info_yes,all,i.hh_age
water_services_info_yes,all,hoh_gender
water_services_info_no,all,region
water_services_info_no,all,hh_situation
water_services_info_no,all,i.hh_age
water_services_info_no,all,hoh_gender
water_security_risks,all,region
water_security_risks,all,hh_situation
water_security_risks,all,i.hh_age
water_security_risks,all,hoh_gender
water_security_risks_yes,all,region
water_security_risks_yes,all,hh_situation
water_security_risks_yes,all,i.hh_age
water_security_risks_yes,all,hoh_gender
i.hh_age,all,region
i.hh_age,all,hh_situation
i.hh_age,all,i.hh_age
i.hh_age,all,hoh_gender
i.hh_size,all,region
i.hh_size,all,hh_situation
i.hh_size,all,i.hh_age
i.hh_size,all,hoh_gender
i.hoh_no,all,region
i.hoh_no,all,hh_situation
i.hoh_no,all,i.hh_age
i.hoh_no,all,hoh_gender
