uuid,start_date,enumerator_id,region,type,name,current_value,value,issue_id,issue,other_text,checked_by,checked_date,comment,reviewed,adjust_log,so_sm_choices,sheet,index
947d19eb-b961-48f9-bada-84ad74512aab,2024-04-21T00:00:00Z,enum_20,ET05,remove_survey,,,,more_survey_time,190 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
010396b0-19ab-45cb-8f7c-8ce6bcbd0563,2024-04-21T00:00:00Z,enum_20,ET05,remove_survey,,,,more_survey_time,193 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
a9d83864-5c8b-4351-a632-7c7b6136378d,2024-04-21T00:00:00Z,enum_07,ET05,remove_survey,,,,more_survey_time,261 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
62b95563-fcf1-4b3f-9bd8-f005ff05b49a,2024-04-21T00:00:00Z,enum_08,ET05,remove_survey,,,,more_survey_time,225 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
e4b2ee85-7389-4560-a84e-3d362b902dd3,2024-04-21T00:00:00Z,enum_17,ET05,remove_survey,,,,more_survey_time,399 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
19c5925b-e234-4f0c-9bce-e13fce6b1125,2024-04-21T00:00:00Z,enum_07,ET05,remove_survey,,,,more_survey_time,249 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
0db29b13-8448-4c92-a6de-17c56284406c,2024-04-21T00:00:00Z,enum_07,ET05,remove_survey,,,,more_survey_time,227 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
eab1e73a-25b6-4c8b-956e-07b84bdda40b,2024-04-21T00:00:00Z,enum_11,ET05,remove_survey,,,,more_survey_time,519 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
40d42664-07ae-4a11-a705-cf772be581d9,2024-04-21T00:00:00Z,enum_11,ET05,remove_survey,,,,more_survey_time,444 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
a18c4047-3470-4eb0-a45c-a79591b65b8c,2024-04-21T00:00:00Z,enum_11,ET05,remove_survey,,,,more_survey_time,390 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
60b08083-bb65-4f67-9739-41a8767b727d,2024-04-21T00:00:00Z,enum_11,ET05,remove_survey,,,,more_survey_time,354 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
f1800827-ffc4-40c2-be96-5afd884df338,2024-04-21T00:00:00Z,enum_11,ET05,remove_survey,,,,more_survey_time,290 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
0b26c5b1-7fab-45a5-b2d9-fe80429928bd,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,783 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
a6fa58a6-d6e4-403a-804b-f03b1aa1cf47,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,704 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
5864b1fe-b257-4ef3-b832-fd86e2205f00,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,707 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
8f933e7e-7c82-4b4b-8eec-680049897fa3,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,386 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
452ada55-7957-409e-ae08-9f48d57a3759,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,279 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
fb3a8778-ef91-4b52-aa10-dd1a86b7359e,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,438 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
8e56189b-5109-4474-ae53-1c5c6892c41a,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,408 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
c8e307e3-3c81-4cca-9809-1dd0f8eef38d,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,376 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
