Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
In which region does the interview take place?,region,Somali,0.23,202,refugee,,,select_one,Household
In which region does the interview take place?,region,Tigray,0.77,678,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0102,0.77,676,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0105,0,2,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0506,0.23,202,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.06,49,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.71,627,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010501,0,1,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010504,0,1,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,0.23,202,refugee,,,select_one,Household
Are you the head of the household?,hoh,no,0.18,161,refugee,,,select_one,Household
Are you the head of the household?,hoh,yes,0.82,730,refugee,,,select_one,Household
What is the age of the respondent?,hh_age,hh_age,43.56,730,refugee,,,integer,Household
What is the age of the household head?,hoh_no,hoh_no,47,161,refugee,,,integer,Household
What is the gender of the respondent?,hoh_gender,female,0.54,397,refugee,,,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.46,333,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,female,0.09,15,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.91,146,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.09,64,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.66,483,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.05,36,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.08,61,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.12,86,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,divorced,0.01,1,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,0.98,157,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,single,0.01,2,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,widowed,0.01,1,refugee,,,select_one,Household
Do you have any formal education?,hh_education,dwta,0,1,refugee,,,select_one,Household
Do you have any formal education?,hh_education,no,0.58,426,refugee,,,select_one,Household
Do you have any formal education?,hh_education,yes,0.42,303,refugee,,,select_one,Household
What is your occupation?,hh_occupation,farmer,0.51,456,refugee,,,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.02,14,refugee,,,select_one,Household
What is your occupation?,hh_occupation,health_worker,0,2,refugee,,,select_one,Household
What is your occupation?,hh_occupation,labourer,0.15,135,refugee,,,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.24,213,refugee,,,select_one,Household
What is your occupation?,hh_occupation,private_business,0,1,refugee,,,select_one,Household
What is your occupation?,hh_occupation,religious_leader,0.01,5,refugee,,,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.05,48,refugee,,,select_one,Household
What is your occupation?,hh_occupation,teacher,0.01,11,refugee,,,select_one,Household
What is your occupation?,hh_occupation,trader,0,3,refugee,,,select_one,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.26,891,refugee,,,integer,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0,4,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_returnee,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.88,784,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.11,96,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,none,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,returnee,0.01,5,refugee,,,select_one,Household
What is your region of origin?,hh_region,ET01,1,96,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0101,0.05,5,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0102,0.1,10,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0104,0.01,1,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.83,80,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010101,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010102,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010106,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010107,0.02,2,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010209,0.09,9,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010213,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010407,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.42,40,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.21,20,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.08,8,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.06,6,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010507,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.05,5,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,dwta,0.01,1,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,economic_opportunities,0.03,3,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.85,90,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.11,12,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.47,45,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.23,22,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.3,29,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.14,4,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,0.17,5,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_zone,0.21,6,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,elsewhere_in_country,0.07,2,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.41,12,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,cost_of_living,0.03,1,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,education_reason,0.03,1,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.55,16,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.14,4,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,lack_of_food_in_current_location,0.1,3,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,proximity_to_place_of_origin,0.07,2,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,reasons_reason,0.07,2,refugee,,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.6,439,refugee,,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.4,295,refugee,,,select_one,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,1,295,refugee,,,integer,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,a_lot_of_difficulty,0.06,54,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0.01,6,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.82,734,refugee,,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.11,97,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0.03,28,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,cannot_do_at_all,0.01,5,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.88,788,refugee,,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.08,70,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,a_lot_of_difficulty,0.07,63,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,cannot_do_at_all,0.01,7,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,0.83,737,refugee,,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,some_difficulty,0.09,84,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,a_lot_of_difficulty,0.02,17,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,cannot_do_at_all,0,4,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,no_difficulty,0.94,834,refugee,,,select_one,Household
Do any members of your houshold have difficulty remembering or concentrating?,difficulty_remembering,some_difficulty,0.04,36,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,a_lot_of_difficulty,0.02,20,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,cannot_do_at_all,0.01,5,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,no_difficulty,0.93,828,refugee,,,select_one,Household
"Do any members of your household have difficulty with self-care, such as washing all over or dressing?",difficulty_self_care,some_difficulty,0.04,38,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,a_lot_of_difficulty,0.01,7,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,cannot_do_at_all,0,4,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,no_difficulty,0.97,862,refugee,,,select_one,Household
"Using your usual language, do any members of your houshold have difficulty
communicating, for example understanding or being understood?",difficulty_communicating,some_difficulty,0.02,18,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,borehole_manual,0,2,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,dk,0.01,8,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,dwta,0,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,hand_pump,0.14,127,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,piped_into_dwelling,0,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,piped_system,0,1,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,protected_spring,0,3,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,protected_well,0.09,83,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,public_tap,0.41,358,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,river,0.14,120,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,unprotected_spring,0.14,121,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,unprotected_well,0,4,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,water_kiosk,0,4,refugee,,,select_one,Household
What is the main source of drinking water for members of your household?,drinking_water_source,water_trucking,0.05,46,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,borehole_manual,0.01,5,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,borehole_motorized,0,1,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,dk,0,2,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,hand_pump,0.16,142,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,piped_system,0,1,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,protected_spring,0.01,13,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,protected_well,0.06,52,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,public_tap,0.32,284,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,river,0.14,122,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,unprotected_spring,0.22,190,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,unprotected_well,0.02,18,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,water_kiosk,0.01,5,refugee,,,select_one,Household
"What is the main source of water for cooking, bathing and cleaning for your HH?",cleaning_water_source,water_trucking,0.05,46,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,elsewhere,0.01,10,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,in_own_dwelling,0.01,5,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,in_own_yard_plot,0.01,9,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,outside_the_kebele,0.16,143,refugee,,,select_one,Household
Where is your drinking water source located?,water_source_location,within_kebele,0.81,724,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,above_31minutes,0.11,97,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,below_5minutes,0.12,104,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,between_16_and_30_minutes,0.3,268,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,between_5_and_15_minutes,0.46,405,refugee,,,select_one,Household
How long does it take for members of your household to go to the location of drinking water source?,water_fetch_time,dk,0.01,8,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,above_31minutes,0.73,643,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,below_5minutes,0.02,18,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,between_16_and_30_minutes,0.15,134,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,between_5_and_15_minutes,0.09,79,refugee,,,select_one,Household
"How long does it take for members of your household to go to the location of drinking water source , get water (including waiting time), and come back?",water_fetch_time2,dk,0.01,8,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,community,0.97,864,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,dk,0,2,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,dwta,0,2,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,formalised_water_provider,0.01,7,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,health_facility,0.01,6,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,private_owner,0.01,5,refugee,,,select_one,Household
Who owns this water point?,water_point_owner,school,0,4,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,dk,0,1,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,no,0.09,84,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,partially,0.11,96,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,unable_to_confirm,0,2,refugee,,,select_one,Household
Is the water source you use for drinking functional?,water_source_functional,yes,0.79,708,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_due_to_normal_usage,0.55,46,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_during_confilict,0.12,10,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,damaged_during_flooding,0.27,22,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,dk,0.05,4,refugee,,,select_one,Household
"If no, or partially, why?",ws_unfunctionality_reason,dwta,0.01,1,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,0_to_1month,0.33,60,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,2_to_3months,0.31,56,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,4_to_6months,0.09,17,refugee,,,select_one,Household
"If no, or partially, how long has it been non- or partially functional for?",ws_unfunctionality_time,6_monthsor_more,0.26,47,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,dk,0.01,8,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,dwta,0,4,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,none_hh_access_water,0.07,58,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,not_allowed_to_access_water,0.03,25,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_at_the_source_isnot_clean,0.2,175,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_disability,0,2,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_economic,0.01,5,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_discrimination_based_on_idp,0,2,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_long_distance,0.06,55,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_long_waiting_times,0.33,293,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,water_not_accessible_due_to_violence,0,2,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_not_producing_water,0.02,15,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_physically_damaged,0.22,195,refugee,,,select_one,Household
"If any, in the past 3 months, what is the most frequent challenge you and/or members of your HH faced to access water?",water_access_challenge,ws_under_maintenance,0.05,42,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,dk,0.01,5,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,no,0.33,297,refugee,,,select_one,Household
Is the availability of water and amount of water your household is able to access different during different seasons of the year?,access_water_different_in_seasons,yes,0.66,589,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,dk,0.01,6,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,no,0.83,736,refugee,,,select_one,Household
Is there a quota limitation to access water?,quota_to_access_water,yes,0.17,149,refugee,,,select_one,Household
How many jerrycan (10L) are you allowed to get for your household in a day?,num_jerrycan_allowed,num_jerrycan_allowed,4.65,149,refugee,,,integer,Household
Do you or your household pay for water?,hh_water_payment,dk,0,4,refugee,,,select_one,Household
Do you or your household pay for water?,hh_water_payment,no,0.39,345,refugee,,,select_one,Household
Do you or your household pay for water?,hh_water_payment,yes,0.61,542,refugee,,,select_one,Household
"If yes, how much on average do you spend on water, per month?",hh_water_payment_amount,hh_water_payment_amount,43.93,542,refugee,,,integer,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,dk,0,3,refugee,,,select_one,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,no,0.83,742,refugee,,,select_one,Household
"In the last 12 months, have you or a member of your household  felt unsafe when accessing a public water source?",felt_unsafe_when_accessing_public_water_source,yes,0.16,146,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,dwta,0,4,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,not_informed,0.31,274,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,somewhat_informed,0.14,128,refugee,,,select_one,Household
How informed do you think you and the members of your household are about the availabilty water and services in your locality?,hh_informed_about_water_services_availability,well_informed,0.54,485,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_accessibilty_for_hh,0.46,410,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_accessibilty_for_idp,0.01,8,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_affordability_of_water,0.03,25,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_availability_of_water,0.21,188,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_functionality_ws,0.2,178,refugee,,,select_one,Household
What would be the first most important improvement needed in water service in the kebele?,wash_improvement_needed,improvement_in_quality_of_water,0.09,80,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_accessibilty_for_hh,0.18,161,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_accessibilty_for_idp,0.02,15,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_affordability_of_water,0.07,61,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_availability_of_water,0.22,194,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_functionality_ws,0.3,269,refugee,,,select_one,Household
What would be the second most important improvement needed in water service in the kebele?,wash_improvement_needed2,improvement_in_quality_of_water,0.21,185,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_accessibilty_for_hh,0.14,121,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_accessibilty_for_idp,0.01,11,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_affordability_of_water,0.05,46,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_availability_of_water,0.22,194,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_functionality_ws,0.2,173,refugee,,,select_one,Household
What would be the third most important improvement needed in water service in the kebele?,wash_improvement_needed3,improvement_in_quality_of_water,0.38,327,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,dwta,0.02,3,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,no,0.07,13,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,yes_full_functional,0.54,99,refugee,,,select_one,Household
Are any services currently operating from this facility (health post)?,operating_health_post,yes_partial_functional,0.37,68,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,dwta,0.02,3,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,far_from_the_kebele_outside_woreda,0.01,1,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,far_from_the_kebele_within_woreda,0.01,1,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,outside_the_kebele,0.01,1,refugee,,,select_one,Household
Where is this health facility located?,health_post_location,within_the_kebele,0.97,177,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,1hour_to_half_day,0.04,8,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,30_minutes_1hour,0.3,55,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,dwta,0.01,2,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_post,less_than_30_minutes,0.64,118,refugee,,,select_one,Household
Who owns this health facility ?,health_post_owner,community,0.28,52,refugee,,,select_one,Household
Who owns this health facility ?,health_post_owner,govt,0.72,131,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,dk,0.01,9,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,yes_full_functional,0.22,139,refugee,,,select_one,Household
Are any services currently operating from this facility (health centre)?,operating_health_centre,yes_partial_functional,0.77,493,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,far_from_the_kebele_in_zonal_town,0,3,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,far_from_the_kebele_within_woreda,0.03,20,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,outside_the_kebele,0.01,8,refugee,,,select_one,Household
Where is this health facility located?,health_centre_location,within_the_kebele,0.95,610,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,1hour_to_half_day,0.09,57,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,30_minutes_1hour,0.23,147,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,dk,0,1,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,dwta,0.07,46,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,less_than_30_minutes,0.61,389,refugee,,,select_one,Household
How long does it take for members of your household to travel to this health facility,travel_time_to_health_centre,more_than_half_day,0,1,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,community,0.03,21,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,dk,0,1,refugee,,,select_one,Household
Who owns this health facility ?,health_centre_owner,govt,0.97,619,refugee,,,select_one,Household
Are any services currently operating from this facility (hospital)?,operating_hospital,yes_full_functional,0.63,43,refugee,,,select_one,Household
Are any services currently operating from this facility (hospital)?,operating_hospital,yes_partial_functional,0.37,25,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,far_from_the_kebele_in_zonal_town,0.68,46,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,far_from_the_kebele_outside_woreda,0.21,14,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,far_from_the_kebele_within_woreda,0.03,2,refugee,,,select_one,Household
Where is this health facility located?,hopsital_location,within_the_kebele,0.09,6,refugee,,,select_one,Household
